3 3 111010010	ACT CAT
7 5 01000000100001111100101011111111000	ALIKE ELK LAKE LEAK LIE LIKE
7 6 001000000111111110001100111111110001001000	DRUG DUE DUG RED RUDE RUG URGE URGED
9 8 010000000010000100111100100100011100101110111111010010001011111000000010	ARE BAR BARE BEAR BRA BRACE CAR CARE CRAB EAR ERA RACE
7 7 0111000000111100010010011111101010010111001110000	ART RAT SAT SAW STAR STRAW SWAT TAR WARS WAS
6 6 011111010100011101101001111101100000	ARM ARMY MAR MARRY MAY RAM RAY YAM
7 7 0000010000111100010100001010001111000100001110000	BAD BAKE BAKED BEAD BEAK BED
6 6 000111000010011110010100111110010000	ABBEY AYE BABE BABY BAY BYE
8 6 111110001010000010111101111001010000111100000100	ABS AILS BAIL BASIL BIAS LAB SAIL SLAB
6 6 111100000001010101011111010101011100	ALIEN LANE LEAN LIE LINE NAIL
5 5 1111110001101110010011100	BACON BAN BOA CAB CAN NAB
7 7 0001111000100011111001000100111011100111010010001	GIN GOWN ION NOW OWING OWN WIG WIN WING WON
7 6 101110010000001111101000010100001110000100	GAP GRAPH HAG HARP PAR RAP
6 5 000001000001011111010101111100	ILL KILL SILK SKI SKILL
8 6 001111100010001011100111010111000111010001010000	ASH ASHY ASK HAS HAY SAY SHAKY SHY SKY YAK
7 7 0000111111110110001111000010000111100000010111101	DOG EGO GEL GOD GOLD LEG LODE LODGE LOG OLD
5 5 1110000100111110000111101	AIR ARC CIGAR RAG RIG
8 6 011100010101000101010111010111001111010000000100	PEST PET PUT SETUP STEP UPS UPSET USE
6 5 000010000010011111010100111100	EEK SEE SEEK SKEET TEE
7 6 000001010111111010010101111011101000000100	LOST LOT LOTUS LUST OUT SLOT SOUL
9 8 000111000000101000010111100111100100010001111111100101100000101100000001	ABLE ALE BALM BAM BEAM BLAME ELM LAMB LAME MALE MEAL
6 6 001110001010101111111000101000100000	EPIC ICES PIC PIE SIP SPICE
6 6 011111010100011101001001111001001001	ACE APE CAP CAPE PACE PEA PEACE
8 6 100011111000101010111110101010100010000011100000	DEMO DOE DOME DOVE MODE MOVE MOVED
6 5 010000010111111010100010111110	CITE ICE TIE TWICE WET WIT
8 8 0010100000101110111110100010011101010001010111111111000001010000	PER PURE PURSE REP RUE SPUR SUE SUPER SURE UPS USER
7 6 111100010010001011101100011111101010000001	HOW NOW OWN SHOW SHOWN SNOW WHO WON
7 7 0100000010011111101011011101101000011101110010000	BOD BOUT BUD BUT DOT DOUBT DUB DUO OUT TUB
7 6 001001000101110111010010111001010101111000	DEN DENY DYE END EYED NEED NEEDY YEN
9 8 000000100000000101111110111000000101000101111010111010111101110010000000	ATE AXE AXLE EAT EXALT LATE LATEX LAX LET TALE TAX TEA
7 7 0011100001011111101010100101011100100011110001000	CHI CHIP HIP HIT ITCH PHI PIC PIT PITCH TIP
8 8 1111000010001000101110011010100111101111000001010000111100000100	DEER DEFER FED FEE FEED FREE FREED RED REED REEF
6 6 001110000101111101010001011111010000	CONES CONS NOSE ONCE ONE SON
7 7 0000101000111100001011011111111010010100000010000	HER HERE THE THEE THERE THREE TREE
7 5 01111100100010111011100101000011110	EWE EYE PEW WEE WEEP WEEPY YEP YEW
11 10 00010000000001111000000001011100011110101000001010011100010100001011111001111000011110100000000100000000001000	DAM DAME DEAL ELM LAD LAME LEAD MAD MADE MALE MEAD MEAL MEDAL MELD
8 6 001010000011111011101000100111111001010010111100	AGO ALONG ANGLO GAL GOAL LAG LOAN LONG NAG
9 8 001111000000100000111110000100011110111010100001111100001000000001011111	EAR EARL EARLY ERA LAYER RAY REAL RELAY RELY RYE YEAR
8 7 00010000011100000101111101000001111101110101010101011100	DEPUTY DUPE DUTY DYE PET PUT TYPED YEP YET YUP
8 6 001111110010010000111101100010011000100111111001	FIR FIT FITTER RIFT RITE TIE TIRE TRITE
7 7 0000111000010000001000000100111111000100100011110	DUD DUDE DUE JUDGE JUDGED JUG
9 7 001111100101010111111011101100000001101000001101000000111011111	GOT GROW GROWTH HOG HOT ROT ROW THROW TOW TWO WHO WORTH
8 6 001111101010010010100111111111011000000100000001	ALAS LAVA SALIVA VIA VIAL VIALS VISA
8 7 00010000000100100001111111110010100011111000010100111111	COST COTS CUSTOM CUT MOST MUST OUT SCOUT SUM
10 8 01000111100100010100010101011111111100100101001110001110100000001110000000100000	ACE AGE ALE AYE CAGE CAGEY CLAY GAL GEL LACE LAY LEG LEGACY
9 7 011111000000000010010111111111100010010111110010100100000100111	ELM LEMON LEMONY LONE MELON MEN MOLE MONEY ONLY
9 8 000111100001010100011110111101000101111111001100100000111100000100000000	HEEL HELM HELMET HEM LET MEET MELT MET TEE THEM THEME
9 9 000111111000100010010100010010100111111100100000000100000111110000010000001110000	ICY LICK SICK SICKLY SILK SILKY SKI SKY SLICK SLY
7 7 0001111000100000011110010100111111010101001110100	APE EQUAL LEAP PAL PALE PEA PLAQUE PLEA
9 7 000001110101111010101001010111110111101010100100011100100010000	DEN DID DIED DINE DINED END HEN HID HIDDEN HIDE HIND
7 6 000111100010010101001111110001010001111000	ACCESS ACES CASE CASES SEA SEAS
10 8 00000010001111011110000000101000001111111111100010101010000011101000001000000000	DEAL DUAL DUEL LAD LEAD LED VALE VALUE VALUED VEAL
10 8 00000100000011110000001001111110100010001111101000101010100010101111001000100000	DIRE DIVE DRIER DRIVE DRIVER RED RIDE RIDER RIVER
8 7 00011110010000000100000111110111010101011111110000010000	OOPS PONY SNOOPY SOON SOP SOY SPOON SPY
8 8 1111011100000101001111010010100110111100101000001111100000100000	BED BID BIRD BIRDIE BRED BRIDE DIRE RIB RID RIDE
9 8 111110111000000101000011101001001000011111100001010000001111000001000000	CRISP CRISPY PIC PRY RIP SIP SIR SPICY SPRY SPY
7 6 001000001111110010101111010100001110000100	CITE COT EXIT EXOTIC ICE TOXIC
10 8 11110000000000000000011110100000100011110111111001100100011111110001001001111100	FIN FIR FIRM FOR FORM FROM INFO INFORM ION IRON MINOR NOR RIM
8 6 000111100101010011110101010101111111010100000100	FIERY FIRE FIVE IVY RIFE RYE VERIFY VERY
10 8 00011110000000000010000010001000111011110010100100111111010010100111001111010000	AMEN EMU HAM HUE HUM HUMAN HUMANE MAN MANE MEAN MENU NAME
9 9 000000001000101111001111001000101001001111110000010000001111100000100000111110000	DEMO DOME LED LODE MELD MELODY MODE MODEL MOLDY OLD
10 10 0100010000010001000001000101000101011100010111011100010000011111110111001001010100100101000010011100	ACES ADS CASE CAUSE CAUSED CUE CUES DUES SAD SAUCE SEA SUE USE USED
9 9 000011100001110100001011110111101000100101000111101111000101001000101001000000001	NET NUT RENT RUE RUN RUNT RUT TEN TRUE TUNE TUNER TURN UNTRUE
10 8 01000000001111000000010111000101010100010100011111011111010100000001010000000111	DEED DEN DENIED DID DIED DINED END ENDED INDEED NEED
9 8 000000010000100010011100111010100001111110101010011101010010111010000100	DODGE DODGER DOE DOG EGO GOD ODD ODDER OGRE RED RODE
11 8 0000111110000100000000111110010011010000111110101111001100010101111000111110011111000100	HEIRS HER HERS HIKERS HIRE HIS RISE RISK SHE SHIRE SHIRK SIRE SKI SKIER
11 8 1010011100011100101010101111011110000100001000001011110000010100000001111100000001010000	BET BOOT BORE ORB ORE REBOOT ROB ROBE ROBOT ROOT TOE TOO TORE
9 7 000010010000011110001110010001000010001011111001010000111111000	BEG BEGIN BEING BENIGN BIN BINGE INN NINE
8 6 001000001011111110100100111001110000000100001111	GLUT GUILTY GUT GUY LIT LUG TUG UGLY
10 8 00001011110011100000001011111000100000101111110111100010010010001111001000000100	LIE LIP PEP PER PERIL PIE PIER PILE PIPE PREP RIPE RIPPLE
8 6 000111110010010011111101001010010011110100000001	EVE EVEN HAVE HAVEN HEAVEN VAN VANE
10 8 00011111000001010100100101011111110000101001001111100111100000000010000111100000	ALL ALLOW ALLOWS ALSO LAW LOWS OWL OWLS SAW SLOW WALL WAS
11 11 0000000100000000111100000001010000000011111101000101000010101011111111010001001010001110111010010100011100100000101111000	ACE ALE ARC CALL CALLER CAR CARE CELL CELLAR CLEAR EAR EARL ERA RACE REAL RECALL
9 9 011110101010100101010111101111100101001011100111110100010010000010000000111110000	AMUSE ASSUME EMU MASS MESS MUSE SAME SEA SEAMS SUES SUM SUMS USES
8 8 1111010010100100101111111010010001111110010000001110000001000000	DEVOID DIODE DIVE DOVE VIDEO VIE VOID VOIDED
10 8 01111110000010010000111001111110000001001111011101000101010100011100010000000001	ABOUND BAD BAN BAND BOND BOUND BUD BUN DUB NAB NOD NUB UNDO
8 6 011110000010100011101001101111111000100110000111	COST COTS CUT CUTS OUT OUTS SCOUT STUCCO
9 7 010010001111010001010011101111110101001000101011111100001000000	ABLE BEACH BLAH BLEACH CAB CABLE EACH LAB LACE
9 8 000101111000100101000111111111100101001001000001001000001111000001000000	CHORUS CRUSH HOUR OUCH OUR OURS RUSH SOUR SUCH
6 6 001001101111101001101111101010111111	ELSE ELVES EVE LESS SEES SELVES VESSEL
8 8 0000001000001111000010100111110000010100111111001001000011110000	BIG BIRTH BIT BRIG BRIGHT GRIT HIT RIG RIGHT
11 11 0000000010000101000100001110001010010101010111101110101010000100010111011111100010000100000111101000000001110000000010000	EGO EMU EURO GEM GERM GUM MORE MORGUE MUG OGRE ORE ROGUE ROUGE RUG RUM URGE
9 8 000010000001010000011110101001011111111000101010011101011110001000010001	ARE BAR BARE BEAR BEAVER BEE BEER BRA BRAVE EVER VERB
10 8 00001110000000101010010010111111111010100100000111010000100101111110010000001111	CHI CHIN ENRICH HEIR HEN HER INCH NICE NICER NICHE RICE RICH
7 7 0001000100111011110101000010011111101010100111100	ANT AUNT MAN MAT MUTANT NUT TAN TAUNT TUNA
8 7 11110111000001010011111100100101111110001000000010000000	INN INNER NEW NINE WIN WINE WINNER WIRE
6 6 010111010001111111010101111100000100	DEER DEGREE EDGE GREED RED REED
9 8 000100000000111111111100010001000010011111000010100000111101111010100000	ELDEST ELSE LEST LET SEE SEED SET SLED STEEL TEES
8 7 10000111111000011010111110111010100011101000001000111010	HILT HIP HIT LIGHT LIP LIT PHI PIG PIT PLIGHT TIP
13 11 00000000100000000101010100000010101111000001111101001111101001111100000100001010000111011111000010001000100001011110000000111000000000000100000	CHOSE CHOSEN CON CONES CONS ECHO HEN HENS HOSE NOSE ONCE ONE ONES SHE SHOE SHONE SON
9 8 111000000101001000101111110100101000100111000000001111111100010000001110	GOT HOG HORN HOT NORTH NOT ROT THORN THRONG TON TORN
11 10 00100000000001110001001110101010010001110100111010111111010101000100111101111000001010011111010100000000111000	DEMO DOE DOME DUE DUEL DUO ELM LED LODE LOUD MELD MODE MODEL MODULE MOLD MOLE MUD OLD
9 7 001000001001000001011100001010111111111100101010111100000000100	ACROSS ARC ARCS CARS CROSS OAR OARS SCAR SOAR
12 11 000010000000000010010000000011110000000010010000111110010000101000010100111100011110100111000100000101001111000101111000000100001000	HEIR HEIRS HER HERS HIRE HIS ISLE LIE LIES RELISH RILE RILES RISE SHIRE SIR
8 8 0000100000111100111010001010100010111100101001010010010100000111	DEEP GEL GLEE LEDGE LEG PEEL PEG PLED PLEDGE
12 10 001000001000001000001000111011111000100010001000111010001111101010000010101010010010101111011110000001010000000001110000	EGO GIN GONE GONER GRIN IGNORE ION IRON NOR OGRE ORE REGION REIGN REIN RING
6 5 001010111010101111100010111111	GEE GEM GERM MERE MERGE MERGER
9 8 000100000001111100000100100010100100111101111010001000111111000000001000	ARCH CHORAL COAL COLA CORAL HALO ORAL ROACH
7 7 0000100011110101001111111101001010100101000111000	ENTER ENTREE NET RENT TEE TEEN TEN TREE
10 10 0010111001001110100111101010011000011101111001000010100100001010111100001010000001111000000010100000	ATE DATE DEAF DEFEAT EAT FAD FADE FAT FATE FATED FED FEE FEED FEET TAD
6 6 111000100111100101111111000101000100	ICE ICES NICE SCENIC SIN SINCE
9 7 000011110000101010101111010100100000111111000101000000111011111	AIR CIGAR GARLIC GIRL GRAIL LAG LIAR RAG RAIL RIG
9 7 001110001000100001011101111010001001111111000010100000011101111	COT COURT CRY CURT OUT OUTCRY TOUR TOY TRY YOU YOUR
8 7 01010000111111000101010011110111000100100000001001111010	LOSE SELL SLY SOLE SOLELY YELL YELLS YES
10 9 000100100000011111101111001000100000100010100011111110100001001110011100001111000000000100	ANT INK INTAKE KIN KITE NEAT TAKE TAKEN TAN TANK TEA TEN TIE TIN
12 9 000111110000100000000010101111000010111010000010101111000010101001011111001001001001001001111001000001001111	CRUST CUT CUTS RUST RUT RUTS STRUCK STUCK SUCK TRUCK TUCK TUCKS TURKS TUSK
8 7 00000010001111110010001011100010010101110111010000011110	ACT ARC ARCTIC ART CAR CART CAT CIRCA RAT TAR
12 9 001000111110001110000000111011110000010010100000011101111110001010100010001111001010000010011111000010001000	AIR AIRY ANY BAN BARN BAY BINARY BRA BRAIN BRAN NAB RAIN RAINY RAN RIB YARN
12 9 000000000101000000000111111100000101100100000100100100111100111100100000101011110000101110000000001010000000	COIN COME CON ICE ICON INCOME ION MEN MINCE MINE NICE ONCE ONE
14 10 00000101111000000011110010000000010101111000001111100010000000001011110001111110100100010000101111000100000000011111101111110000010000000000	DEER DESIRE DIRE DRIES RED REDS REED REEDS RESIDE RID RIDE RIDES RIDS SEE SEED SEER SIDE
9 9 000100010000100010111101111001001000011111100010101000010111000011101000000100000	DEVOTE DOE DOT DOVE EVE TEE TOE VETO VETOED VOTE VOTED
10 8 11110100000000010000000101110001011101001111001110010100100101000011110111111001	ALE EARL ELM ERA LAME MALE MAR MARE MARVEL MEAL RAM REAL REALM
11 10 00000010000000000100000000101000000011110101000010011110111100010101001111101111100010010001111100100010001000	MORE NOR NORM NORMS NOSE OMENS ORES ROSE SERMON SNORE SOME SON SORE
11 10 01111101000000000010000011100111100101111010011110000100101011111001010010000010100100001111001000000010000000	EITHER HEIR HER HERE HIRE HIT RITE THE THEIR THERE THREE TIER TIRE TREE
10 9 100111000010010100001111011100000000010000010001110111111010000100111000010010000001111000	DOG DRUG DUG DUNG GROUND GUN NOD OUR ROD ROUND RUG RUN RUNG URN
9 8 100011111101000000111110100101000101111101111100100101000111101000100000	EASE EASES MASS MESS SAME SEAMS SEAS SEEMS SEES SESAME
8 8 0000000100000001111101011010111110100100101111001110000000100000	HUNK HUNKS HUSK RUNS SHRUNK SUN SUNK URNS
12 9 001111110010000001001111000101001010001111101010000100101000111110111000000011100000000010000000000000111111	CORE COVE COVER COVERT COVET ORE OVER ROT ROVE TORE VECTOR VET VOTER
8 7 00011111000010100000111101000010111100100101111000010000	DINKY IDLY ILK KID KIND KINDLY LINK NIL
10 9 000000010000010101010001011101000111011111110001010010001111001000100011110010000000001000	HEIR HER HIRE HIVE IRE RITE THE THEIR THRIVE TIER TIRE VIE
9 8 010011100011110100010010111111000001001000111001000101011111100001000100	EMPIRE IMP PEER PER PIE PIER PRIM PRIME REM REP RIP RIPE
10 10 0000000001000000100100001111010000101001011110111101000010101110111111001010001000111000000000100000	CITRUS CRUST CURT CUT ITS RUST RUSTIC RUT RUTS SIR SIT STIR SUIT
8 6 000011110000010111110101100101011001111110010001	ALONG ANALOG ANGLO GALA GOAL LOAN LONG
8 8 0111100000000010001011110010101011111000101000001111000000100000	CLUE COP COPE COUPE COUPLE CUE CUP POLE
11 10 00011111100000000100000000101000000001010000001011111010111100010100101000111111101111000001110000000010100000	LET LOT LOVE LOVER ORE OVER OVERT REVOLT ROLE ROT ROVE TORE VET VOTER
10 9 000010000010101000001010100001111010000110101011111000001001111100100101011110000111000000	DEN DENS DUES DUNES END SEND SUED SUN UNDUE UNUSED USE USED
9 8 010000100010011100111010100100011111101110100100100100111100000000100000	ACE APE APIECE CAP CAPE EPIC PACE PEA PEACE PIECE
11 8 0101110000001010100101111101001010100111110101001000111000111101000000001110001111010000	DELI DID DIED ELF FED FIDDLE FIELD FILED FLED IDLE LED LID LIE LIFE
8 8 0011111000101000101011111111001010010010111110101001000010000000	FLOSS FOIL FOSSIL LOSS OIL OILS SILO SOIL SOILS
8 7 00111110100000001110000110111111001010011111110000001000	INN INSANE NAN NINE NINES SANE SEA SIENNA
7 6 111111010001001000101101010101111010010001	EVADE HAD HAVE HEAD HEAVED HEED
11 8 0010000000010111100000111001001001011110010010101011110100010101001000111011100000010000	OAR OARS RAY RAYS ROAR ROARS ROSARY ROSY SAY SOAR SORRY SOY
9 9 000001010000001110001111010001000111001000101111110111001011100001010100000010100	FODDER FOE FOR FORDED FORE ODD ODDER ODE RED REDO ROD RODE
10 8 00010000000001000000010111100111110100010100111101010001010100000111110000000101	FILE FILL FILLER FIRE FLIER LIFE RIFE RIFLE RILE
8 6 011111000101010011111101010001110000000100000001	ELF FLU FUEL FUELS FUSE SELF USEFUL
8 6 011111101010010011110101100101010011110100010001	ACHE ACNE CACHE CAN CANE CHANCE EACH HEN
7 7 1110000000010101111110010101111011110001001110000	GENT GIN GIT IGNITE NET NIT TEN TIN TINGE
9 9 100011100100010100100010100101110100001000010011111010000001111000001001000111111	DOUR DUH DUO HOURS OUR OURS ROD RODS RUSH SHROUD SOD SOUR
11 8 0000111111000111001010001010011110010000100011110111000000101000000001111000000010000000	NOT ONTO POOR PORT POT PRO PROTON ROOT TOO TOP TORN TROOP
10 9 000111000001010100001111010000010000000011101111110010100100001111010000101001000001111100	LET LIE LIT LITE LITER LITTER RILE TIL TILE TILT TITLE TRITE
6 6 111101100001111101100101101111100100	BLOB BLOG GLOB GLOBE GOBBLE LOBE
10 9 000100000100010100010001111101111101000110000111011000000100111011110010101001001011100000	BRUSH BUS BUSH HUB HUBRIS HUBS RIB RIBS RUB RUBS RUSH SHRUB SUB
8 7 00101111111000000011110100101001001111010010010100001111	DEN DENS DIN DINES ENDS INSIDE SEND SIDE SIN
11 9 000001110000000010100000111101111000100001011001001110111110010001100000111011110000011110000000100	AID AIM AMID AMINO AND DAM DIM DOMAIN ION MAD MAID MAIN MAN MID MIND NOD
7 6 001000011110000010111001010111111010010101	AILS SAIL VIA VIALS VISA VISUAL
8 8 0100100001001000011110000100111011100010101001111010010010111111	ALE APP APPEAL APPLE LAP LEAP PAL PALE PAPA PEP PLEA
8 6 001111100010010111110101101011111110000100100000	COKE COTS SECT SET SOCK SOCKET STOCK TOE
11 9 000000100000000001110001011110100010010111110100100101011111001010010010011100000000100000000001000	ALLOY ALLY LAY LOYAL OAR ORAL ORALLY RALLY RAY ROLL ROYAL
7 7 1110000101000011111101000100011111001000000101111	GLOOM GLOOMY GOO GYM LOG LOGO LOOM MOO
10 10 0001001000000101111100010010010001011111000101010100000101000001011100000101000000011100001111000000	COST COT MIST MOIST MOST OMIT OMITS SIM SITCOM STOIC TICS
10 10 0000011100000001010001010101001111110111010100010101010000010001110111000001001000000111100000010000	IMPOSE IMPS MOPS OPS PIE PIES POEMS POISE POSE SIM SIP SOME SOP
9 7 111100101101010111111110101101011101100010000100000000001111100	ACE ALL CALL CELL CELLO COAL COLA LACE LOCAL LOCALE
8 8 0010000111100101001111010001010111111101010100000111000001000000	ERR FEE FREE FREER PEER PREFER REEF REF REFER
9 8 000000001010100001111110001010101111011111010010001010010011110000001000	DINED DINER DIRE DRIED NERD REIN RIDDEN RIDE RIND
7 7 0011100001010000111110000101101110110101011110000	EIGHT EIGHTY GIT HEY HIT THE THEY THY TIE
9 7 011110000010001111111110101000010101011110101000100101000111100	MOST MUST MUTT OUST OUT STOUT SUM TOT TOUTS UTMOST
7 6 000111100101011110101101111110100010000001	EONS NOSES ONES SANE SEA SEASON SON
7 6 101010011101001011111100010111111010000111	ACT ATTIC CACTI CAT TACIT TACT TACTIC TIC
8 7 00111001100100011111000110100101111111000010010000111100	CEDE DECIDE DEED DICE DICED DID DIED ICE ICED
10 10 0000001010011111101000001011111001110000100100111110111000101000101110000011101000001010000000100000	AGE AGO EGO GAME GEM HAG HEM HOE HOG HOMAGE HOME MAG MAGE MEGA OMEGA
8 8 0001111100000101001111110010010011100000010100000111100000010000	COHORT COO COT HOOT HOT OOH ROOT ROT TORCH
12 10 000000111111111110100100000000100100000111101111000100010010011111011110000101010010000001010000000001010000000001111000	CRIES ICES ISLE LICE LIES RELIC RELICS RICE RILE RISE SIRE SLICE SLICER
9 7 111111000000101111111101001010000101010100100010111100011100100	ABS ABYSS BASS BAYS BYPASS PASS PAYS SAP SAY SPA SPY
10 9 000111111001010001010111000101010000011111100000010010001001011110100001001010000111101000	GEL GLEN GLUE GULP GUN LEG LUG LUNG LUNGE PEG PLUG PLUNGE PUG PUN
11 11 0000111000000101010000001010111100011100100011100001000010000111111110001000010010010000100111111001111001000000010000000	NOPE NOR ONE OPEN ORE OVEN OVER PEN PEON PER PORE PRONE PROVE PROVEN REP ROPE
8 7 00001000001010100011111000101010001011111111100000100000	EELS ELSE ELVES LEVEE LEVEES SLEEVE
12 11 000011110000000010001000000010101000000011111000000010101111010111110100111100000100010100011100111101110000001001010000001111000000	IRE ITS REST RISE RITE SET SIR SIRE SIT SITE SITTER STIR TEST TIER TIES TIRE TRIES TRITE
7 7 0001111101010111111011010101111100010000001000000	CHIC CITE ETCH ETHIC HECTIC ITCH TECH
8 8 0000000100001111000001011111010110101111101010011011111010001000	ABLE BALES BASE BLUES LABS SALE SEAL SLAB USABLE
11 8 0000011111100010000000010100010001111011110101000101001111101111110101110100000010000000	CUE CURE CURSE RESCUE REUSE RUE SECURE SEE SEER SURE USE USER
9 8 000000100000100111001111101000100001111100001010011101011110111000010100	AGE ALE EAGLE GAL GALE GEE GEL GLEE GLUE LAG LEAGUE LUG
12 11 000000000010111110111111000000101010000111101010000100011110011110000100010000010100011101011110000111010000000101110000000101000000	ADS ADVISE AID AIDE ASIDE AVID DIVE IDEA SAD SAID SAVE SAVED SEA SIDE VASE VIA VIE VISA
11 10 00010000000000100000000001000011100010000101011111101010100000111111110001000010101110000101010100000011100000	CHORE CHROME COME CORE ECHO HEM HER HERO HOE HOME HOMER MORE ORE
9 8 000001000000111100000101001000101111111100101001000101001001111001000101	ALIEN HAIL HEAL INHALE LAIN LANE LEAN LINE NAIL
10 9 000001111000011100100001011110000100010011110001001000111111100010000011111000001000000000	LOUSY OUR OURS ROSY SLUR SLY SOUR SOURLY SOY SURLY YOU YOUR
8 7 00101111001000001111110010100000111101111001010001111100	IMPS SKI SKIM SKIMP SKIMPY SKIP SKY SPIKY SPY
8 7 00111110000010100011111100100010111000001010000010000000	CON CONS CONSUL LOCUS SON SOUL SUN
12 10 111110111100000000100100000011101111000010101000011110001000010101111100011101010000000111011111000101010000000101010000	COD CODE CODER COED CORD CORED CREDO DECOR DOC DOE ODE ORDER RECORD RED REDO ROD RODE
9 8 000010111000010101000011111010000100010011100111010100010010000011110000	HORN NORTH NOT THORN THORNY TON TORN TOY TRY YON
10 8 00010000011111010001000101111110111100011010000001101110111110101010000000111000	ACT CAT CAVE COAT COVE COVET EAT OCTAVE TACO TOE VET VETO VOTE
9 9 000100000000111101000100111001110101001010101001111101111010100100000000100000000	EEL ELSE LEST LET LETS SEE SET SETTLE SLEET STEEL TEES
8 6 111100010010000110111101101001011000010110011111	ARCH BARN BRAN BRANCH CARB CRAB RANCH
8 6 011101000010010011110111101010101111101000101111	HOOP HOOT HOP ONTO OOH OPT PHOTO PHOTON POT TOP
8 7 01111110010100000101111111110001100000011011110110000000	ALOUD DUAL LAND LOAD LOAN LOUD UNDO UNLOAD
9 9 000001000000001110111111010101000010111001111001001000000001010000111110000000010	CEDE COD CODE CODED COED DECODE DEED DOC DOE ODD ODE
12 10 000000000001000000111111000101000001010111100001010101011111010111100010111100101111010000101010000000111100000000001000	ADORN DAWN DOWN DRAW DRAWN DROWN ONWARD RADON ROAD WAND WARD WARN WORD WORN
11 9 000011111100001010010001011101111111100001010100000000101110010001000101111000001001000000011110000	ACE CAFE CALF ELF FACE FACILE FAIL FILE FLEA ICE LACE LEAF LIE LIFE
10 9 111111000000100111100111110010001001011110101000011000101111100010100010011110001000101000	ENTER GENE GENRE GENT GREEN GREET NET REGENT RENT TEE TEEN TEN TREE
8 8 0011110100100111111111010000000101010111010111000101010001000000	AYE DAY DYE HAD HAY HEAD HEADY HEY HEYDAY YEA YEAH
13 11 00011110100000000101111000011110101000000100000000001110011110001010001010000101110101111010101111101001000100011111100000001010000111110001000	ALERT ALTER ARE ART EAR EARL ERA LATE LATER LATTER LET RAT RATE RATTLE REAL TALE TAR TART TEAR TREAT
7 6 111111010010001001001111100110011110000001	CORES ORES ROSE SCORE SOCCER SORE
